"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبِصَ   4,,,,,,,,,,أَبصََ   2,,,,,ء ص ص,,,,,473,,,,,17,,,,,ء ب ص,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتْبَضَ,,,,,,,,,,,,,,,تأبَضَ,,,,,,,,,,,,,,,,,,,,أَبِضَ   4,,,,,,,,,,أَبضََ    12,,,,,ء ص ص,,,,,219,,,,,18,,,,,ء ب ض,,
"",,,,,,,,,,,,,,,,,اِس تأَبْطَ َ,,,,,,,,,,اِئتْبَط َ,,,,,,,,,,,,,,,تأَبَ  َط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبطَ  2,,,,,ء ص ص,,,,,119,,,,,19,,,,,ء ب ط,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَقَ,,,,,,,,,,,,,,,,,,,,أَ ِبقَ   4,,,,,,,,,,أَبقََ    321,,,,,ء ص ص,,,,,5,,,,,25,,,,,ء ب ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَبِكَ  4,,,,,,,,,,,,,,,ء ص ص,,,,,34,,,,,27,,,,,ء ب ك,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتْبَل َ,,,,,,,,,,,,,,,تأَبَ  َل,,,,,أبلَ َ,,,,,,,,,,أَبل َ,,,,,أَبِل َ  4,,,,,أَب  َلُ  5,,,,,أَب  َلَ   21,,,,,ء ص ص,,,,,413,,,,,27,,,,,ء ب ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَ  َن,,,,,,,,,,أبنَ َ,,,,,أَبن َ,,,,,أَبِنَ  4,,,,,,,,,,أَبنَ َ   21,,,,,ء ص ص,,,,,149,,,,,34,,,,,ء ب ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَه َ,,,,,أبهَ َ,,,,,,,,,,أَبه َ,,,,,أَ ِبه َ  4,,,,,,,,,,أَبهَ َ  3,,,,,ء ص ص,,,,,317,,,,,36,,,,,ء ب ه,,
"",,,,,,,,,,,,,,,,,اِس تأَبَّْ,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَّ,,,,,,,,,,,,,,,أَبّ,,,,,,,,,,,,,,,أَبا  1,,,,,ء ص ع,,,,,9,,,,,37,,,,,ء ب و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَبَّ,,,,,أبَّ,,,,,,,,,,,,,,,أَبِ َ  4,,,,,,,,,,أَبَّ   3,,,,,ء ص ي,,,,,9,,,,,37,,,,,ء ب ي,,
اِفعَْول َ,اِفعْال,اِفعَْوْع  َلَ,اِس تفْعَ  َل,اِفعَْل,اِفتْعََ  َل,اِنفَْعَل َ,تفَاعلَ َ,تفََعل َ,أَفعَْل َ,فاع  َلَ,فعَ  َل,فعَِل َ,فعَُل َ,فعََ  َل,ال نوع,الصفحة,المجلد,الجذر
"",,,,اِئتْبَ,,,,تأَتَب َ,,أتبَ َ,أَت  َب,,,,ء ص ص,10,2,ء ت ب
"",,,,,,,,,,,,,,1 أَت,ء (ص ص),418,4,ء ت ت
"",,,,,,,,,أترَ َ,,أَت  َر 1,,,,ء ص ص,12,10,ء ت ر
"",,,,,,,,,,,,,,أَتلَ َ  2,ء ص ص,427,27,ء ت ل
"",,,,,,,,,أ  َتَ,,أَت َ,أَ  َتِ  4,,أَتَ َ  2,ء ص ص,181,31,ء ت م
"",,,اِس تأَتْ  َنَ,,,,,,أت  َنَ,,,,,أَتنَ َ  2,ء ص ص,154,34,ء ت ن
"",,,,,,,,تأَتَه َ,,,,,,,ء ص ص,318,36,ء ت ه
"",,,,,,,,,أتَ,,,,,أَتا  1,ء ص و,27,37,ء ت و
"",,,اِس تأَتَْ,,,,,تأَتَ,أتَ,,أَت,,,أَتَ  2,ء ص ي,32,37,ء ت ي
"",,,,,اِئتْثَأَ,,,,,,,,,أَثأَ َ 3,ء ص ء,126,1,ء ث ء
"",,,,,,,,تأَثَث َ,,,أَثث َ,أَث  4,,132 أَث,ء (ص ص),153,5,ء ث ث
"",,,اِس تأَثْرَ َ,,اِئتْ  َثَ,,,تأَثَ  َر,أث  َرَ,,أَثر َ,أَثِر َ  4,,12 أَثرَ َ,ء ص ص,12,10,ء ث ر
"",,,,,,,,تأَثَفَ,أثفََ,,أَثفَ,,,12 أَثفََ,ء ص ص,5,23,ء ث ف
"",,,,,,,,تأَثَل َ,,,أَث  َل,,أَث ل َ  5,أَثلَ َ  2,ء ص ص,428,27,ء ث ل
"",,,,,,,,تأَثََ َ,أ  َثََ,,أَثَ َ,أَ  َثَِ  4,,12 أَثََ,ء ص ص,184,31,ء ث م
"",,,,,,,,,,,,,,أَثا  1,ء ص و,41,37,ء ث و
"",,,,,اِئتْثََ,,تأَثََ,تأَثََ,أثََ,أثََ,,أَثِِ  4,,أَثََ  2,ء ص ي,41,37,ء ث ي
"",,,,,,,,,,,,,,أَجَأ َ 3,ء ص ء,127,1,ء ج ء
"",,,,,,,,,أج,,,,,,,,,
"",,,,,اِئتْج,,تأج,تأَجَج َ,,,أَج  َج,,,312 أَج,ء (ص ص),397,5,ء ج ج  2
"",,,,,,,,,أجَج َ,,,,,,,,,
"",,,,,,,,,أجَ  َد,,أَج  َد,,,أَجَ  َد  1,ء ص ص,375,7,ء ج د
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاع  َلَ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,اِس تأَجَْر َ,,,,,,,,,,اِئتْجَ  َر,,,,,,,,,,تأَجَر َ,,,,,تأَجَر َ,,,,,أجَر َ,,,,,أجَر َ,,,,,أَجر َ,,,,,,,,,,,,,,,أَجَ  َر   21,,,,,ء ص ص,,,,,24,,,,,10,,,,,ء ج ر,,
"",,,,,,,,,,,,,,,,,اِس تأَجَْز َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ء ص ص,,,,,7,,,,,15,,,,,ء ج ز,,
"",,,,,,,,,,,,,,,,,اِس تأَجَْ  َل,,,,,,,,,,,,,,,,,,,,,,,,,تأَجَل َ,,,,,أجَل َ,,,,,,,,,,أَجل َ,,,,,أَ  ِجل َ  4,,,,,,,,,,أَجَ  َل   12,,,,,ء ص ص,,,,,434,,,,,27,,,,,ء ج ل,,
"",,,,,,,,,,,,,,,اِس تأَجَْم َ,,,,,,,,,,,,,,,,,,,,,,,تأَجَم َ,,,,,أجَم َ,,,,,,,,,,أَجم َ,,,,,أَجِم َ  4,,,,,,,,,,أَجَ  َم  2,,,,,ء ص ص,,,,,187,,,,,31,,,,,ء ج م,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَج ِن َ  4,,,,,أَج ُن َ  5,,,,,أَجَن َ   12,,,,,ء ص ص,,,,,156,,,,,34,,,,,ء ج ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحّ 1,,,,,,,,,,,,,,,أح  1,,,,,ء (ص ص),,,,,292,,,,,6,,,,,ء ح ح,,
"",,,,,,,,,,,,,,,,,اِس تأَحَْد َ,,,,,,,,,,اِتَّد َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَح  َد,,,,,أَحِدَ  4,,,,,,,,,,,,,,,ء ص ص,,,,,376,,,,,7,,,,,ء ح د,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أحَن َ,,,,,,,,,,أَحِن َ  4,,,,,,,,,,أَح َ  َن  3,,,,,ء ص ص,,,,,158,,,,,34,,,,,ء ح ن,,
"",,,,,,,,,,,,,,,,,اِس تأَخَْذ َ,,,,,,,,,,اِئتْخَ  َذ,,,,,,,,,,,,,,,تأَخَذ َ,,,,,أخَذ َ,,,,,أخَذ َ,,,,,أَخذ َ,,,,,أَخِذَ  4,,,,,أَخ ُذ َ  5,,,,,أَخَ  َذ  1,,,,,ء ص ص,,,,,363,,,,,9,,,,,ء خ ذ,,
"",,,,,,,,,,,,,,,,,اِس تأَخَْر َ,,,,,,,,,,,,,,,,,,,,,,,,,تأَخَر َ,,,,,,,,,,,,,,,أَخر َ,,,,,,,,,,,,,,,أَخَرَ  2,,,,,ء ص ص,,,,,31,,,,,10,,,,,ء خ ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَخَّ,,,,,تأَخَّ,,,,,أخَّ,,,,,أخَّ,,,,,أَخّ,,,,,,,,,,,,,,,أَخا  1,,,,,ء ص و,,,,,42,,,,,37,,,,,ء خ و,,
"",,,,,,,,,,,,,,,,,اِس تأَدَْبَ,,,,,,,,,,,,,,,,,,,,,,,,,تأَدَبَ,,,,,أدَبَ,,,,,,,,,,أَدبَ,,,,,أَدِبَ  4,,,,,أَ  ُدبَ   5,,,,,أَدَبَ   2,,,,,ء ص ص,,,,,12,,,,,2,,,,,ء د ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَدَد َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَد    21,,,,,ء (ص ص),,,,,380,,,,,7,,,,,ء د د,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَدِر َ  4,,,,,,,,,,,,,,,ء ص ص,,,,,39,,,,,10,,,,,ء د ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَدِلَ  4,,,,,,,,,,أَدَ  َل  2,,,,,ء ص ص,,,,,439,,,,,27,,,,,ء د ل,,
"",,,,,,,,,,,,,,,,,اِس تأَدَْم َ,,,,,,,,,,اِئتْدََ  َم,,,,,,,,,,,,,,,تأَدَم َ,,,,,أدَم َ,,,,,,,,,,أَدم َ,,,,,أَد ِم َ  4,,,,,أَد ُم َ  5,,,,,أَدَ  َم   12,,,,,ء ص ص,,,,,190,,,,,31,,,,,ء د م,,
"",,,,,,,,,,,,,,,,,اِس تأَدَْى,,,,,,,,,,,,,,,,,,,,تأَدَى,,,,,,,,,,أدَى,,,,,,,,,,,,,,,,,,,,,,,,,أَدا  1,,,,,ء ص و,,,,,51,,,,,37,,,,,ء د و,,
"",,,,,,,,,,,,,,,,,اِس تأَدَْى,,,,,,,,,,,,,,,,,,,,تأَدَى,,,,,تأَدَى,,,,,أدَى,,,,,,,,,,أَدى,,,,,,,,,,,,,,,أَدَى  2,,,,,ء ص ي,,,,,53,,,,,37,,,,,ء د ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَذَجَ  1,,,,,ء ص ص,,,,,401,,,,,5,,,,,ء ذ ج,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَذ  2,,,,,ء (ص ص),,,,,371,,,,,9,,,,,ء ذ ذ,,
"",,,,,,,,,,,,,,,,,اِس تأَذَْن َ,,,,,,,,,,,,,,,,,,,,,,,,,تأَذَن َ,,,,,أذَن َ,,,,,,,,,,أَذن َ,,,,,أَذ ِن َ  4,,,,,,,,,,أَذَن َ  1,,,,,ء ص ص,,,,,161,,,,,34,,,,,ء ذ ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَذَى,,,,,أذَى,,,,,,,,,,أَذى,,,,,أَذِي َ  4,,,,,,,,,,,,,,,ء ص ي,,,,,58,,,,,37,,,,,ء ذ ي,,
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ا لنوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,اِس تأَرَْبَ,,,,,,,,,,,,,,,,,,,,,,,,,تأَرَبَ,,,,,أرَبَ,,,,,أرَبَ,,,,,أَربَ,,,,,أَ ِربَ  4,,,,,أَ ُربَ   5,,,,,أَرَبَ   23,,,,,ء ص ص,,,,,15,,,,,2,,,,,ء ر ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَرَثَ,,,,,,,,,,,,,,,أَرثَ,,,,,أَرِثَ  4,,,,,,,,,,أَرَثَ  1,,,,,ء ص ص,,,,,155,,,,,5,,,,,ء ر ث,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَرَج َ,,,,,,,,,,,,,,,أَرج َ,,,,,أَ ِرج َ  4,,,,,,,,,,أَرَج َ  2,,,,,ء ص ص,,,,,402,,,,,5,,,,,ء ر ج,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَخ َ,,,,,,,,,,أَرخ َ,,,,,,,,,,,,,,,أَرَ  َخ   31,,,,,ء ص ص,,,,,225,,,,,7,,,,,ء ر خ,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتّْ,,,,,,,,,,,,,,,,,,,,أر,,,,,,,,,,,,,,,أَر  4,,,,,,,,,,أر   21,,,,,ء (ص ص),,,,,40,,,,,10,,,,,ء ر ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَرز َ,,,,,أَزِرَ  4,,,,,,,,,,أَرَز َ   12,,,,,ء ص ص,,,,,7,,,,,15,,,,,ء ر ز,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَسَ,,,,,,,,,,أَرسَ,,,,,,,,,,,,,,,أَرَسَ   2,,,,,ء ص ص,,,,,396,,,,,15,,,,,ء ر س,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتَْشَ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَرشَ,,,,,,,,,,,,,,,أَرَشَ   1,,,,,ء ص ص,,,,,63,,,,,17,,,,,ء ر ش,,
"",,,,,,,,,,,,,,,,,اِس تأَرَْضَ,,,,,,,,,,,,,,,,,,,,,,,,,تأَرَضَ,,,,,أرَضَ,,,,,,,,,,أَرضَ,,,,,أَ ِرضَ  4,,,,,أَ ُرضَ   5,,,,,أَرَضَ   1,,,,,ء ص ص,,,,,223,,,,,18,,,,,ء ر ض,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَطَ,,,,,,,,,,,,,,,أَ ِرطَ  4,,,,,,,,,,أَرَطَ  1,,,,,ء ص ص,,,,,124,,,,,19,,,,,ء ر ط,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَفَ,,,,,أَرفَ,,,,,,,,,,,,,,,,,,,,ء ص ص,,,,,11,,,,,23,,,,,ء ر ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتَْقَ,,,,,,,,,,,,,,,تأَرَقَ,,,,,أرَقَ,,,,,,,,,,أَرقَ,,,,,أَرِقَ  4,,,,,,,,,,,,,,,ء ص ص,,,,,7,,,,,25,,,,,ء ر ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتَْك َ,,,,,,,,,,,,,,,,,,,,أرَك َ,,,,,أرَك َ,,,,,أَرك َ,,,,,أَ ِرك َ  4,,,,,,,,,,أَرَك َ   21,,,,,ء ص ص,,,,,35,,,,,27,,,,,ء ر ك,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَم َ,,,,,,,,,,,,,,,أَ ِرم َ  4,,,,,,,,,,أَرَم َ  2,,,,,ء ص ص,,,,,204,,,,,31,,,,,ء ر م,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أرَن َ,,,,,أرَن َ,,,,,,,,,,أَ  ِرن َ  4,,,,,,,,,,أَرَن َ  1,,,,,ء ص ص,,,,,171,,,,,34,,,,,ء ر ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَرَهَ  3,,,,,ء ص ص,,,,,319,,,,,36,,,,,ء ر ه,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَرا  1,,,,,ء ص و,,,,,,,,,,,ء ر و,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتَْى,,,,,,,,,,,,,,,تأَرَى,,,,,أرَى,,,,,,,,,,أَرى,,,,,أَرِ  َي  4,,,,,,,,,,أَرَى  2,,,,,ء ص ي,,,,,60,,,,,37,,,,,ء ر ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَزَأَ  3,,,,,ء ص ء,,,,,130,,,,,1,,,,,ء ز ء,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَبَ,,,,,,,,,,,,,,,,,,,,أَزِبَ  4,,,,,,,,,,أَزَبَ   2,,,,,ء ص ص,,,,,23,,,,,2,,,,,ء ز ب 1,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَزج َ,,,,,أَ ِز  َج  4,,,,,,,,,,أَزَج َ   21,,,,,ء ص ص,,,,,404,,,,,5,,,,,ء ز ج,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَح َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَزَح َ  2,,,,,ء ص ص,,,,,293,,,,,6,,,,,ء ز ح,,
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْ  َل,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ا لنوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,اِئتََْر َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِتزَر َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِئتََْ,,,,,,,,,,,,,,,تأَزَ  َز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَز     312,,,,,ء (ص ص),,,,,12,,,,,15,,,,,ء ز ز,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَفَ,,,,,تأَزَفَ,,,,,أزَفَ,,,,,,,,,,,,,,,أَزِفَ   4,,,,,أَزُفَ  5,,,,,أَزَفَ   21,,,,,ء ص ص,,,,,12,,,,,23,,,,,ء ز ف,,
"",,,,,,,,,,,,,,,,,اِس تأَزَْقَ  1,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَقَ,,,,,,,,,,,,,,,,,,,,أَزِقَ  4,,,,,,,,,,أَزَقَ  2,,,,,ء ص ص,,,,,10,,,,,25,,,,,ء ز ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَل َ,,,,,أزَل َ,,,,,,,,,,أَزل َ,,,,,,,,,,,,,,,أَزَل َ  2,,,,,ء ص ص,,,,,441,,,,,27,,,,,ء ز ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَم َ,,,,,أزَم َ,,,,,,,,,,,,,,,أَزِم َ  4,,,,,,,,,,أَزَم َ  2,,,,,ء ص ص,,,,,211,,,,,31,,,,,ء ز م,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَزا  1,,,,,ء ص و,,,,,68,,,,,37,,,,,ء ز و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَزَى,,,,,تأَزَى,,,,,أزَى,,,,,أزَى,,,,,أَزى,,,,,أَزِي َ  4,,,,,,,,,,أَزَى  2,,,,,ء ص ي,,,,,68,,,,,37,,,,,ء ز ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أسَب َ,,,,,,,,,,,,,,,,,,,,,,,,,ء ص ص,,,,,25,,,,,2,,,,,ء س ب,,
"",,,,,,,,,,,,,,,,,اِس تأَسَْد َ,,,,,,,,,,,,,,,,,,,,,,,,,تأَسَ  َد,,,,,أسَد َ,,,,,أسَد َ,,,,,أَسد َ,,,,,أَسِد َ  4,,,,,,,,,,أَسَدَ  2,,,,,ء ص ص,,,,,384,,,,,7,,,,,ء س د,,
"",,,,,,,,,,,,,,,,,اِس تأَسَْ َ,,,,,,,,,,اِئتْسََ َ,,,,,,,,,,,,,,,تأَسّ َ,,,,,أسَ َ,,,,,,,,,,,,,,,أَسِ َ  4,,,,,,,,,,أََسَ  1,,,,,ء ص ص,,,,,48,,,,,10,,,,,ء س ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَسَسَ,,,,,,,,,,,,,,,أَسسَ,,,,,,,,,,,,,,,أَس  1,,,,,ء (ص ص),,,,,399,,,,,15,,,,,ء س س,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَسَفَ,,,,,أسَفَ,,,,,,,,,,,,,,,أَسِفَ   4,,,,,أَسُفَ  5,,,,,,,,,,ء ص ص,,,,,14,,,,,23,,,,,ء س ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أسَك َ,,,,,,,,,,,,,,,,,,,,,,,,,أَسَكَ  2,,,,,ء ص ص,,,,,42,,,,,27,,,,,ء س ك,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تأَسَل َ,,,,,,,,,,,,,,,أَسل َ,,,,,,,,,,أَسُل َ  5,,,,,,,,,,ء ص ص,,,,,444,,,,,27,,,,,ء س ل,,
